image_path,experiment_day,plate_id,well_id,field,cell_line,treatment,concentration_ug_per_ml,exposure_hours,control_type,replicate,viability_fraction,mts_absorbance,mts_blank_absorbance,micrometers_per_pixel,operator,permission_status,notes
,day-1,plate-day-1,A01,1,RAW264.7,Tribonema extract,0.0,0.0,vehicle,1,,,,,,,
,day-1,plate-day-1,A01,2,RAW264.7,Tribonema extract,0.0,0.0,vehicle,1,,,,,,,
,day-1,plate-day-1,A01,1,RAW264.7,Tribonema extract,0.0,6.0,vehicle,1,,,,,,,
,day-1,plate-day-1,A01,2,RAW264.7,Tribonema extract,0.0,6.0,vehicle,1,,,,,,,
,day-1,plate-day-1,A01,1,RAW264.7,Tribonema extract,0.0,12.0,vehicle,1,,,,,,,
,day-1,plate-day-1,A01,2,RAW264.7,Tribonema extract,0.0,12.0,vehicle,1,,,,,,,
,day-1,plate-day-1,A01,1,RAW264.7,Tribonema extract,0.0,24.0,vehicle,1,,,,,,,
,day-1,plate-day-1,A01,2,RAW264.7,Tribonema extract,0.0,24.0,vehicle,1,,,,,,,
,day-1,plate-day-1,A01,1,RAW264.7,Tribonema extract,0.0,48.0,vehicle,1,,,,,,,
,day-1,plate-day-1,A01,2,RAW264.7,Tribonema extract,0.0,48.0,vehicle,1,,,,,,,
,day-1,plate-day-1,A02,1,RAW264.7,Tribonema extract,0.0,0.0,vehicle,2,,,,,,,
,day-1,plate-day-1,A02,2,RAW264.7,Tribonema extract,0.0,0.0,vehicle,2,,,,,,,
,day-1,plate-day-1,A02,1,RAW264.7,Tribonema extract,0.0,6.0,vehicle,2,,,,,,,
,day-1,plate-day-1,A02,2,RAW264.7,Tribonema extract,0.0,6.0,vehicle,2,,,,,,,
,day-1,plate-day-1,A02,1,RAW264.7,Tribonema extract,0.0,12.0,vehicle,2,,,,,,,
,day-1,plate-day-1,A02,2,RAW264.7,Tribonema extract,0.0,12.0,vehicle,2,,,,,,,
,day-1,plate-day-1,A02,1,RAW264.7,Tribonema extract,0.0,24.0,vehicle,2,,,,,,,
,day-1,plate-day-1,A02,2,RAW264.7,Tribonema extract,0.0,24.0,vehicle,2,,,,,,,
,day-1,plate-day-1,A02,1,RAW264.7,Tribonema extract,0.0,48.0,vehicle,2,,,,,,,
,day-1,plate-day-1,A02,2,RAW264.7,Tribonema extract,0.0,48.0,vehicle,2,,,,,,,
,day-1,plate-day-1,A03,1,RAW264.7,Tribonema extract,0.0,0.0,vehicle,3,,,,,,,
,day-1,plate-day-1,A03,2,RAW264.7,Tribonema extract,0.0,0.0,vehicle,3,,,,,,,
,day-1,plate-day-1,A03,1,RAW264.7,Tribonema extract,0.0,6.0,vehicle,3,,,,,,,
,day-1,plate-day-1,A03,2,RAW264.7,Tribonema extract,0.0,6.0,vehicle,3,,,,,,,
,day-1,plate-day-1,A03,1,RAW264.7,Tribonema extract,0.0,12.0,vehicle,3,,,,,,,
,day-1,plate-day-1,A03,2,RAW264.7,Tribonema extract,0.0,12.0,vehicle,3,,,,,,,
,day-1,plate-day-1,A03,1,RAW264.7,Tribonema extract,0.0,24.0,vehicle,3,,,,,,,
,day-1,plate-day-1,A03,2,RAW264.7,Tribonema extract,0.0,24.0,vehicle,3,,,,,,,
,day-1,plate-day-1,A03,1,RAW264.7,Tribonema extract,0.0,48.0,vehicle,3,,,,,,,
,day-1,plate-day-1,A03,2,RAW264.7,Tribonema extract,0.0,48.0,vehicle,3,,,,,,,
,day-1,plate-day-1,A04,1,RAW264.7,Tribonema extract,12.5,0.0,treated,1,,,,,,,
,day-1,plate-day-1,A04,2,RAW264.7,Tribonema extract,12.5,0.0,treated,1,,,,,,,
,day-1,plate-day-1,A04,1,RAW264.7,Tribonema extract,12.5,6.0,treated,1,,,,,,,
,day-1,plate-day-1,A04,2,RAW264.7,Tribonema extract,12.5,6.0,treated,1,,,,,,,
,day-1,plate-day-1,A04,1,RAW264.7,Tribonema extract,12.5,12.0,treated,1,,,,,,,
,day-1,plate-day-1,A04,2,RAW264.7,Tribonema extract,12.5,12.0,treated,1,,,,,,,
,day-1,plate-day-1,A04,1,RAW264.7,Tribonema extract,12.5,24.0,treated,1,,,,,,,
,day-1,plate-day-1,A04,2,RAW264.7,Tribonema extract,12.5,24.0,treated,1,,,,,,,
,day-1,plate-day-1,A04,1,RAW264.7,Tribonema extract,12.5,48.0,treated,1,,,,,,,
,day-1,plate-day-1,A04,2,RAW264.7,Tribonema extract,12.5,48.0,treated,1,,,,,,,
,day-1,plate-day-1,A05,1,RAW264.7,Tribonema extract,12.5,0.0,treated,2,,,,,,,
,day-1,plate-day-1,A05,2,RAW264.7,Tribonema extract,12.5,0.0,treated,2,,,,,,,
,day-1,plate-day-1,A05,1,RAW264.7,Tribonema extract,12.5,6.0,treated,2,,,,,,,
,day-1,plate-day-1,A05,2,RAW264.7,Tribonema extract,12.5,6.0,treated,2,,,,,,,
,day-1,plate-day-1,A05,1,RAW264.7,Tribonema extract,12.5,12.0,treated,2,,,,,,,
,day-1,plate-day-1,A05,2,RAW264.7,Tribonema extract,12.5,12.0,treated,2,,,,,,,
,day-1,plate-day-1,A05,1,RAW264.7,Tribonema extract,12.5,24.0,treated,2,,,,,,,
,day-1,plate-day-1,A05,2,RAW264.7,Tribonema extract,12.5,24.0,treated,2,,,,,,,
,day-1,plate-day-1,A05,1,RAW264.7,Tribonema extract,12.5,48.0,treated,2,,,,,,,
,day-1,plate-day-1,A05,2,RAW264.7,Tribonema extract,12.5,48.0,treated,2,,,,,,,
,day-1,plate-day-1,A06,1,RAW264.7,Tribonema extract,12.5,0.0,treated,3,,,,,,,
,day-1,plate-day-1,A06,2,RAW264.7,Tribonema extract,12.5,0.0,treated,3,,,,,,,
,day-1,plate-day-1,A06,1,RAW264.7,Tribonema extract,12.5,6.0,treated,3,,,,,,,
,day-1,plate-day-1,A06,2,RAW264.7,Tribonema extract,12.5,6.0,treated,3,,,,,,,
,day-1,plate-day-1,A06,1,RAW264.7,Tribonema extract,12.5,12.0,treated,3,,,,,,,
,day-1,plate-day-1,A06,2,RAW264.7,Tribonema extract,12.5,12.0,treated,3,,,,,,,
,day-1,plate-day-1,A06,1,RAW264.7,Tribonema extract,12.5,24.0,treated,3,,,,,,,
,day-1,plate-day-1,A06,2,RAW264.7,Tribonema extract,12.5,24.0,treated,3,,,,,,,
