cell_type,count_absolute_error,dice,fn,fp,image_id,instance_fn,instance_fp,instance_tp,iou,matching_score_50,matching_score_50_95,predicted_count,split,tp,true_count,well
A172,45,0.33934367732647563,264787,3674,236764,382,427,0,0.20434310982549317,0.0,0.0,427,test,68947,382,C7
A172,14,0.34416535789950775,248028,856,237486,341,355,4,0.20785007702394745,0.005714285714285714,0.002425109312413164,359,test,65304,345,C7
A172,105,0.40954645558711816,147512,484,237950,123,228,4,0.25750293494947873,0.011267605633802818,0.0014060901723188294,232,test,51326,127,C7
A172,2,0.3139895573445819,260639,6075,238270,378,380,0,0.18623227318216212,0.0,0.0,380,test,61038,378,C7
A172,46,0.3692517118452207,260059,1272,238650,349,395,0,0.22643084437208613,0.0,0.0,395,test,76494,349,C7
A172,96,0.34400755409767025,191403,7980,240468,250,346,4,0.20773497786713926,0.006666666666666667,0.0011647300595582443,350,test,52279,254,C7
A172,109,0.3502096067150761,266564,4845,241612,519,410,1,0.21227521274249161,0.001075268817204301,0.0006451612903225806,411,test,73139,520,C7
A172,40,0.3517005801113107,213443,6713,242134,385,345,6,0.21337177934277332,0.008152173913043478,0.0024401379752861884,351,test,59717,391,C7
A172,14,0.34448595015393063,257331,10103,243303,390,376,1,0.20808397862039354,0.001303780964797914,0.0003911342894393741,377,test,70271,391,C7
A172,72,0.40775005072022724,145567,393,244264,161,233,2,0.2560841976504167,0.005050505050505051,0.0015138793476324962,235,test,50245,163,C7
A172,64,0.41729047556846155,114203,1783,244429,124,188,3,0.26365575560577975,0.009523809523809525,0.004442435201928873,191,test,41530,127,C7
A172,86,0.4878991972562567,102787,240,244963,90,176,8,0.3226631428083047,0.029197080291970802,0.011215475167669083,184,test,49079,98,C7
A172,20,0.6283148637059209,21884,219,245241,53,33,37,0.4580605614809366,0.3008130081300813,0.11642009968499119,70,test,18682,90,C7
A172,48,0.3657434412105852,184558,4642,245333,236,284,2,0.22379805621310273,0.0038314176245210726,0.001339897291634616,286,test,54551,238,C7
A172,2,0.6342242937315704,19006,221,245573,33,35,28,0.4643692890572766,0.2916666666666667,0.11688943540136669,63,test,16669,61,C7
A172,89,0.45817336538986025,128280,853,245908,124,213,5,0.29716269981657967,0.014619883040935672,0.004663107042969743,218,test,54598,129,C7
A172,54,0.41909614398987005,113681,1927,246042,144,198,6,0.26509907126647214,0.017241379310344827,0.00513485217744278,204,test,41703,150,C7
A172,57,0.3817649072133967,221273,904,246194,307,364,3,0.23591436677843694,0.004451038575667656,0.000740961845732446,367,test,68598,310,C7
